epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.094,1.28685,4.76908,1.38451,0.02388,0.90606,0.06937,0.04409,1.16695,3.40897,1.21123,0.000117965,0.000117965,0.000117965
2,24.7959,1.14518,4.08117,1.23034,0.28418,0.31262,0.29218,0.19324,1.17208,2.59161,1.30921,0.000229145,0.000229145,0.000229145
3,33.7818,1.15048,3.53013,1.25317,0.40798,0.51344,0.49641,0.34556,1.116,2.12102,1.23852,0.000332472,0.000332472,0.000332472
4,42.6731,1.11463,2.98489,1.21269,0.48218,0.64385,0.60638,0.44176,1.03555,1.75728,1.14937,0.000321657,0.000321657,0.000321657
5,51.6574,1.07538,2.63662,1.17218,0.5102,0.67958,0.67077,0.47893,1.09226,1.67393,1.18889,0.000309876,0.000309876,0.000309876
6,60.5613,1.04669,2.36241,1.13692,0.69735,0.6552,0.72691,0.52519,1.07334,1.48201,1.15866,0.000298095,0.000298095,0.000298095
7,69.5524,1.01992,2.11806,1.13068,0.67721,0.7857,0.77088,0.56288,1.05807,1.34654,1.15659,0.000286314,0.000286314,0.000286314
8,78.4403,1.01615,1.99101,1.11508,0.76375,0.81885,0.87525,0.62304,1.05426,1.1627,1.17053,0.000274533,0.000274533,0.000274533
9,87.4264,0.9907,1.81888,1.10405,0.75015,0.84745,0.84529,0.60287,1.04038,1.15147,1.13268,0.000262752,0.000262752,0.000262752
10,96.3249,0.97194,1.66482,1.08435,0.80229,0.82254,0.85353,0.61595,1.02603,1.06734,1.13891,0.000250971,0.000250971,0.000250971
11,105.293,0.94648,1.60372,1.07869,0.74618,0.84661,0.85705,0.62503,1.05751,1.09849,1.15345,0.00023919,0.00023919,0.00023919
12,114.298,0.8988,1.52173,1.05252,0.80455,0.83926,0.8578,0.62217,1.01565,1.08655,1.13499,0.000227409,0.000227409,0.000227409
13,123.342,0.89864,1.44602,1.05009,0.79033,0.87418,0.86034,0.62405,1.00394,1.14681,1.11246,0.000215628,0.000215628,0.000215628
14,132.314,0.8942,1.3714,1.03414,0.83267,0.83354,0.87684,0.63234,1.07444,1.00628,1.17136,0.000203847,0.000203847,0.000203847
15,141.335,0.86108,1.30321,1.01783,0.78946,0.90627,0.88157,0.62652,1.061,0.95618,1.14602,0.000192066,0.000192066,0.000192066
16,150.295,0.84361,1.26381,1.01659,0.87685,0.84237,0.91537,0.66316,1.00875,0.87743,1.13089,0.000180285,0.000180285,0.000180285
17,159.179,0.82485,1.20944,1.00937,0.81546,0.90084,0.91171,0.66618,1.0194,0.87982,1.13127,0.000168504,0.000168504,0.000168504
18,168.112,0.80977,1.14262,0.99844,0.87028,0.89477,0.91437,0.66239,1.04449,0.92224,1.13387,0.000156723,0.000156723,0.000156723
19,177.034,0.79378,1.11369,0.99073,0.84561,0.84566,0.88892,0.64844,1.04879,0.91206,1.14256,0.000144942,0.000144942,0.000144942
20,185.89,0.77851,1.06545,0.9801,0.87358,0.90433,0.91644,0.66388,1.02883,0.82411,1.13941,0.000133161,0.000133161,0.000133161
21,202.498,0.76075,1.04756,0.97435,0.87682,0.89607,0.92167,0.66734,1.02759,0.86131,1.14884,0.00012138,0.00012138,0.00012138
22,211.463,0.74101,1.01086,0.96219,0.8866,0.8989,0.91503,0.66085,1.02833,0.83694,1.15335,0.000109599,0.000109599,0.000109599
23,220.35,0.73176,0.98615,0.94949,0.84745,0.89811,0.91625,0.66537,1.03708,0.83241,1.16134,9.7818e-05,9.7818e-05,9.7818e-05
24,229.301,0.71307,0.95543,0.95014,0.87047,0.90136,0.92821,0.67751,1.02351,0.80179,1.14938,8.6037e-05,8.6037e-05,8.6037e-05
25,238.224,0.69234,0.93576,0.94653,0.87408,0.90676,0.93388,0.68191,1.01933,0.80149,1.15685,7.4256e-05,7.4256e-05,7.4256e-05
26,247.151,0.68273,0.91081,0.93763,0.88302,0.90431,0.92706,0.67035,1.03381,0.80469,1.1575,6.2475e-05,6.2475e-05,6.2475e-05
27,256.094,0.67726,0.90096,0.9319,0.90088,0.87759,0.93849,0.68305,1.04746,0.78228,1.16848,5.0694e-05,5.0694e-05,5.0694e-05
28,265.002,0.66523,0.88743,0.9356,0.89629,0.9032,0.92966,0.67476,1.05468,0.78466,1.17261,3.8913e-05,3.8913e-05,3.8913e-05
29,273.941,0.64469,0.87109,0.92037,0.9213,0.87074,0.93383,0.67827,1.03538,0.77708,1.16646,2.7132e-05,2.7132e-05,2.7132e-05
30,282.937,0.63318,0.8682,0.91294,0.88551,0.90859,0.93485,0.67827,1.03996,0.77195,1.16661,1.5351e-05,1.5351e-05,1.5351e-05
