epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.875,0.67159,0.89686,0.94072,0.87988,0.89928,0.94092,0.67477,1.05854,0.82333,1.18255,0.000117965,0.000117965,0.000117965
2,38.8546,0.73263,0.93676,0.95449,0.84625,0.85661,0.89511,0.64008,1.05708,0.96778,1.17516,0.000233055,0.000233055,0.000233055
3,47.6249,0.78134,1.03631,0.98396,0.82475,0.78111,0.85677,0.61269,1.09511,1.17036,1.18042,0.000344218,0.000344218,0.000344218
4,56.3485,0.80085,1.00016,0.99907,0.78512,0.85103,0.87525,0.61614,1.09117,1.05934,1.17695,0.000339329,0.000339329,0.000339329
5,65.0402,0.8078,0.98786,1.01005,0.81244,0.8335,0.89037,0.63275,1.08301,1.01255,1.18233,0.000333438,0.000333438,0.000333438
6,73.7949,0.80129,1.00525,0.98422,0.87448,0.86936,0.91649,0.66395,1.10283,0.89473,1.23182,0.000327547,0.000327547,0.000327547
7,82.5728,0.7845,0.90461,0.99224,0.86984,0.86686,0.91371,0.64481,1.07723,0.941,1.20943,0.000321657,0.000321657,0.000321657
8,91.2402,0.77135,0.9116,0.97778,0.85574,0.84118,0.88713,0.62645,1.10119,1.04292,1.22334,0.000315766,0.000315766,0.000315766
9,99.9023,0.77081,0.90236,0.97871,0.84671,0.80822,0.89461,0.63458,1.07332,0.9591,1.20072,0.000309876,0.000309876,0.000309876
10,108.639,0.74114,0.81256,0.95971,0.86655,0.8308,0.90478,0.65509,1.05739,0.88742,1.19207,0.000303986,0.000303986,0.000303986
11,117.293,0.74792,0.81093,0.9725,0.89065,0.85458,0.91711,0.66866,1.10031,0.98868,1.22425,0.000298095,0.000298095,0.000298095
12,126.128,0.7366,0.78034,0.96271,0.92228,0.83063,0.94129,0.67576,1.08268,0.83983,1.21373,0.000292205,0.000292205,0.000292205
13,134.764,0.71554,0.74481,0.95752,0.88798,0.85686,0.92431,0.65673,1.10342,0.9218,1.20679,0.000286314,0.000286314,0.000286314
14,143.49,0.73178,0.73606,0.9568,0.90062,0.82451,0.91623,0.65116,1.09882,0.88529,1.1872,0.000280423,0.000280423,0.000280423
15,152.255,0.71796,0.71172,0.94819,0.90761,0.86539,0.92352,0.66679,1.04136,0.80964,1.13948,0.000274533,0.000274533,0.000274533
16,161.019,0.69345,0.69103,0.93972,0.88516,0.88668,0.92963,0.67366,1.07329,0.81003,1.17495,0.000268642,0.000268642,0.000268642
